filename,DC.title,year,adjective,count,noun_count
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,klar,2,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,still,1,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,warm,1,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,feucht,0,27
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,frisch,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,frei,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,rein,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,blau,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,leer,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,kalt,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,klar,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,still,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,warm,0,3
ETA_Hoffmann_-_Das_öde_Haus_(1817),Das öde Haus,1817,feucht,0,3
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,frisch,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,frei,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,rein,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,blau,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,leer,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,kalt,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,klar,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,still,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,warm,0,1
Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),Der gute Mond,1886,feucht,0,1
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,frisch,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,frei,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,rein,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,blau,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,leer,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,kalt,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,klar,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,still,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,warm,0,2
ETA_Hoffmann_-_Rat_Krespel_(1818),Rat Krespel,1818,feucht,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,frisch,1,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,frei,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,rein,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,blau,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,leer,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,kalt,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,klar,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,still,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,warm,0,2
Joseph_Baumann_-_Ulli_und_Elsi_(1829),Ulli und Elsi,1829,feucht,0,2
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,frisch,3,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,frei,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,rein,1,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,blau,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,leer,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,kalt,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,klar,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,still,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,warm,0,18
Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),Die vier Töchter des Rittmeister Schimmelmann,1873,feucht,0,18
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,frisch,1,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,frei,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,rein,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,blau,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,leer,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,kalt,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,klar,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,still,0,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,warm,1,2
Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),Des Lebens Überfluss,1837,feucht,0,2
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,frisch,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,frei,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,rein,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,blau,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,leer,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,kalt,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,klar,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,still,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,warm,0,4
Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),Die Vertreibung der Mormonen aus Missouri,1845,feucht,0,4
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,frisch,1,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,frei,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,rein,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,blau,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,leer,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,kalt,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,klar,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,still,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,warm,0,10
Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),Der Korsetten-Fritz,1893,feucht,0,10
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,frisch,1,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,frei,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,rein,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,blau,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,leer,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,kalt,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,klar,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,still,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,warm,0,5
Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),Samuel Brinks letzte Liebesgeschichte,1821,feucht,0,5
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,frisch,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,frei,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,rein,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,blau,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,leer,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,kalt,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,klar,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,still,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,warm,0,2
Ludwig_Tieck_-_Glück_giebt_Verstand_(1826),Glück giebt Verstand,1826,feucht,0,2
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,frisch,2,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,frei,1,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,rein,0,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,blau,0,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,leer,1,32
