left context,keyword,right context,modifier,DC.title,author,decade,DC.date,filename,sentence,adjective
"war kein Laublein, aber die reine",Luft,"war um sie, und die Sonne",reine,Bunte Steine,Adalbert Stifter,1850,1853,Adalbert_Stifter_-_Bunte_Steine_(1853),"zerschlagenen Ästen war kein Laublein, aber die reine Luft war um sie, und die",rein
Schutz der hohen Felsen noch die reine,Luft,und die Aussicht als Zugabe erhalten.,reine,Bunte Steine,Adalbert Stifter,1850,1853,Adalbert_Stifter_-_Bunte_Steine_(1853),Schutz der hohen Felsen noch die reine Luft und die Aussicht als Zugabe,rein
"Die Stille des Abends, die reine",Luft,", die enge Wandung der Berge trägt",reine,Flucht und Fund,Ferdinand Kürnberger,1850,1859,Ferdinand_Kürnberger_-_Flucht_und_Fund_(1859),"Die Stille des Abends, die reine Luft, die enge Wandung der Berge",rein
"Sprüche ab, Es steckt noch kalte",Luft,"in allen Falten, Hier lüften sie",kalte,"Armut, Reichtum, Schuld und Buße der Gräfin Dolores",Achim von Arnim,1810,1810,"Achim_von_Arnim_-_Armut,_Reichtum,_Schuld_und_Buße_der_Gräfin_Dolores_(1810)","Es steckt noch kalte Luft in allen Falten,",kalt
", ehe sie sich vor der kalten",Luft,"verkriechen? Törichter Neid, sie wissen",kalten,Die Kronenwächter,Achim von Arnim,1810,1817,Achim_von_Arnim_-_Die_Kronenwächter_(1817),sich vor der kalten Luft verkriechen?,kalt
auf. Ein Strom kalter und feuchter,Luft,brach mit dem düsteren Lichte des Tages,kalter,Der Vogt von Sylt,Theodor Mügge,1850,1851,Theodor_Mügge_-_Der_Vogt_von_Sylt_(1851),Ein Strom kalter und feuchter Luft brach mit dem düsteren Lichte des Tages,kalt
"drang dem Eintretenden eine kalte, kellerartige",Luft,"entgegen. Das Zimmer, hoch und",kalte,Eugen Stillfried,FW Hackländer,1850,1852,FW_Hackländer_-_Eugen_Stillfried_-_Erster_Band_(1852),"kalte, kellerartige Luft entgegen.",kalt
schüttelten sich und sogen schnaubend die kalte,Luft,ein. Drüben bei Graveltone sahen wir,kalte,Eugen Stillfried,FW Hackländer,1850,1852,FW_Hackländer_-_Eugen_Stillfried_-_Erster_Band_(1852),Pferde schüttelten sich und sogen schnaubend die kalte Luft ein.,kalt
"das Fenster, in das die kalte",Luft,"frostig herein schlug, schaute ein Paar",kalte,Das alte Haus,Friedrich Gerstäcker,1850,1857,Friedrich_Gerstäcker_-_Das_alte_Haus_(1857),"Langsam öffnete er das Fenster, in das die kalte Luft frostig herein schlug,",kalt
die heutige ungewohnte Bewegung in der kalten,Luft,", die jetzige Zimmerwärme und drei oder",kalten,Das alte Haus,Friedrich Gerstäcker,1850,1857,Friedrich_Gerstäcker_-_Das_alte_Haus_(1857),"Bewegung in der kalten Luft, die jetzige Zimmerwärme und drei oder vier Gläser",kalt
