lastname,firstname,title,year,volume,ID,decade
Paalzow,Henriette,Thomas Thyrnau – Erster Theil,1843,,Henriette_Paalzow_-_Thomas_Thyrnau_–_Erster_Theil_(1843),1840
Sealsfield,Charles,In der Prärie verirrt,1841,,Charles_Sealsfield_-_In_der_Prärie_verirrt_(1841),1840
Gotthelf,Jeremias,Eine alte Geschichte zu neuer Erbauung,1849,,Jeremias_Gotthelf_-_Eine_alte_Geschichte_zu_neuer_Erbauung_(1849),1840
Stifter,Adalbert,Prokopus,1847,,Adalbert_Stifter_-_Prokopus_(1847),1840
Alexis,Willibald,Der Werwolf 1,1848,,Willibald_Alexis_-_Der_Werwolf_1_(1848),1840
Gotthelf,Jeremias,Wie Anne Bäbi Jowäger haushaltet,1843,Teil 2,Jeremias_Gotthelf_-_Wie_Anne_Bäbi_Jowäger_haushaltet_-_Teil_2_(1843),1840
Seidl,Johann Gabriel,Sie ist versorgt!,1842,,Johann_Gabriel_Seidl_-_Sie_ist_versorgt!_(1842),1840
Kompert,Leopold,Ohne Bewilligung,1848,,Leopold_Kompert_-_Ohne_Bewilligung_(1848),1840
Stifter,Adalbert,Feldblumen,1841,,Adalbert_Stifter_-_Feldblumen_(1841),1840
Grillparzer,Franz,Der arme Spielmann,1847,,Franz_Grillparzer_-_Der_arme_Spielmann_(1847),1840
Kurz,Hermann,Schillers Heimatjahre,1843,,Hermann_Kurz_-_Schillers_Heimatjahre_(1843),1840
Gerstäcker,Friedrich,Schwarz und Weiß,1848,,Friedrich_Gerstäcker_-_Schwarz_und_Weiß_(1848),1840
von Gaudy,Franz,Novellen und Erzählungen 1,1840,,Franz_von_Gaudy_-_Novellen_und_Erzählungen_1_(1840),1840
Gotthelf,Jeremias,Wie Joggeli eine Frau sucht,1841,,Jeremias_Gotthelf_-_Wie_Joggeli_eine_Frau_sucht_(1841),1840
Riehl,Wilhelm Heinrich,Meister Martin Hildebrand,1847,,Wilhelm_Heinrich_Riehl_-_Meister_Martin_Hildebrand_(1847),1840
Stifter,Adalbert,Ein Gang durch die Katakomben,1844,,Adalbert_Stifter_-_Ein_Gang_durch_die_Katakomben_(1844),1840
Stifter,Adalbert,Wirkungen eines weißen Mantels,1848,Der arme Wohltäter - Der Pförtner,Adalbert_Stifter_-_Wirkungen_eines_weißen_Mantels_-_Der_arme_Wohltäter_-_Der_Pförtner_(1848),1840
Sealsfield,Charles,Das Kajütenbuch oder Nationale Charakteristiken,1843,,Charles_Sealsfield_-_Das_Kajütenbuch_oder_Nationale_Charakteristiken_(1843),1840
Hoefer,Edmund,Das verlassene Haus,1845,,Edmund_Hoefer_-_Das_verlassene_Haus_(1845),1840
von Eichendorff,Joseph,Die Glücksritter,1841,,Joseph_von_Eichendorff_-_Die_Glücksritter_(1841),1840
Stifter,Adalbert,Der beschriebene Tännling,1846,,Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846),1840
Hebbel,Friedrich,Die Kuh,1849,,Friedrich_Hebbel_-_Die_Kuh_(1849),1840
Gerstäcker,Friedrich,Die Flußpiraten des Mississippi,1848,,Friedrich_Gerstäcker_-_Die_Flußpiraten_des_Mississippi_(1848),1840
Hebbel,Friedrich,Matteo,1841,,Friedrich_Hebbel_-_Matteo_(1841),1840
Gerstäcker,Friedrich,Die Regulatoren in Arkansas,1845,,Friedrich_Gerstäcker_-_Die_Regulatoren_in_Arkansas_(1845),1840
Reuter,Fritz,Ein gräflicher Geburtstag,1847,1,Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),1840
Stifter,Adalbert,Die Mappe meines Urgroßvaters,1841,,Adalbert_Stifter_-_Die_Mappe_meines_Urgroßvaters_(1841),1840
Auerbach,Berthold,Der Kindesmord,1848,,Berthold_Auerbach_-_Der_Kindesmord_(1848),1840
Gotthelf,Jeremias,Michels Brautschau,1849,,Jeremias_Gotthelf_-_Michels_Brautschau_(1849),1840
Alexis,Willibald,Der Roland von Berlin – Erster Band,1840,,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Erster_Band_(1840),1840
Spindler,Carl,Der Vogelhändler von Imst,1841,,Carl_Spindler_-_Der_Vogelhändler_von_Imst_(1841),1840
Schücking,Levin,Eine dunkle Tat,1846,,Levin_Schücking_-_Eine_dunkle_Tat_(1846),1840
Stifter,Adalbert,Der Hagestolz,1845,,Adalbert_Stifter_-_Der_Hagestolz_(1845),1840
Kompert,Leopold,Judith die Zweite,1848,,Leopold_Kompert_-_Judith_die_Zweite_(1848),1840
Meinhold,Wilhelm,Die Bernsteinhexe Maria Schweidler,1841,,Wilhelm_Meinhold_-_Die_Bernsteinhexe_Maria_Schweidler_(1841),1840
Gerstäcker,Friedrich,Die Vertreibung der Mormonen aus Missouri,1845,,Friedrich_Gerstäcker_-_Die_Vertreibung_der_Mormonen_aus_Missouri_(1845),1840
Alexis,Willibald,Der Roland von Berlin – Zweiter Band,1840,,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Zweiter_Band_(1840),1840
Alexis,Willibald,Die Hosen des Herrn von Bredow,1846,,Willibald_Alexis_-_Die_Hosen_des_Herrn_von_Bredow_(1846),1840
Alexis,Willibald,Der Werwolf 2,1848,,Willibald_Alexis_-_Der_Werwolf_2_(1848),1840
Gotthelf,Jeremias,Der Geltstag,1845,,Jeremias_Gotthelf_-_Der_Geltstag_(1845),1840
Stifter,Adalbert,Das alte Siegel,1844,,Adalbert_Stifter_-_Das_alte_Siegel_(1844),1840
Gerstäcker,Friedrich,Der erkaufte Henker,1845,,Friedrich_Gerstäcker_-_Der_erkaufte_Henker_(1845),1840
von Droste-Hülshoff,Annette,Die Judenbuche,1842,,Annette_von_Droste-Hülshoff_-_Die_Judenbuche_(1842),1840
Wildermuth,Ottilie,Unabhängigkeit,1855,,Ottilie_Wildermuth_-_Unabhängigkeit_(1855),1850
Schücking,Levin,Die Rheider Burg,1859,,Levin_Schücking_-_Die_Rheider_Burg_(1859),1850
Gerstäcker,Friedrich,Sträflinge,1857,,Friedrich_Gerstäcker_-_Sträflinge_(1857),1850
Kurz,Hermann,Gesammelte kleinere Erzählungen – Vierter Teil,1858,,Hermann_Kurz_-_Gesammelte_kleinere_Erzählungen_–_Vierter_Teil_(1858),1850
